PROJECT_NAME,DATA_DESCRIPTION,KEYWORD,KEYWORD2,LANGUAGE,INSTITUTION,INSTITUTION2,SCIENTIFIC_FIELD,SCIENTIFIC_FIELD2,PROJECT_COUNTRY,PROJECT_PROVINCE,PROJECT_AREA,PROJECT_CODE,FILE_CREATOR_NAME,FILE_CREATOR_FIRST_NAME,FILE_CREATOR_MAIL,CREATION_DATE,REFERENT_NAME,REFERENT_FIRST_NAME,REFERENT_MAIL,REFERENT_NAME2,REFERENT_FIRST_NAME2,REFERENT_MAIL2,SAMPLING_POINT-NAME,SAMPLING_POINT-COORDINATE_SYSTEM,SAMPLING_POINT-ABBREVIATION,SAMPLING_POINT-LONGITUDE,SAMPLING_POINT-LATITUDE,SAMPLING_POINT-ELEVATION,SAMPLING_POINT-DESCRIPTION,COORDINATE_SYSTEM_NAD,X_NAD,Y_NAD,Z_NAD,FILE_CREATOR_DISPLAY_NAME,TITLE,SAMPLE_NAME,SAMPLE_NAME_ORANO,SAMPLE_NAME_GEORESSOURCES,SAMPLE_TYPE,SAMPLING_DATE,HOLEID,HOLEID_LATITUDE,HOLEID_LONGITUDE,HOLEID_ELEVATION,HOLEID_X_NAD,HOLEID_Y_NAD,HOLEID_Z_NAD,SAMPLE_DEPTH_FROM,SAMPLE_DEPTH_TO,LITHOLOGY,LITHOLOGY_2,LITHOLOGY_3,TEXTURE_STRUCTURE,TEXTURE_STRUCTURE_2,ORE_TYPE,ORE_TYPE_2,ORE_TYPE_3,HOST_AGE,MAIN_EVENT_AGE,ALTERATION_DEGREE,PICTURE,PICTURE2,PICTURE3,SAMPLE_LOCATION_BUILDING,STORAGE_ACCESS_REFERENT,SAMPLE_LOCATION_ROOM,SAMPLE_LOCATION_SHELF,SAMPLE_LOCATION_BOX,SAMPLE_LOCATION_BOX_TYPE,SAFETY_CONSTRAINTS,METHODOLOGY-SAMPLING,METHODOLOGY-SAMPLE_CONDITIONNING,METHODOLOGY-ANALYSIS,METHODOLOGY-SAMPLE,MEASUREMENT-NATURE,MEASUREMENT-ABBREV,MEASUREMENT-UNIT,ANALYSIS_ABBREV,UO2_EMPA_spot_ID,DATE,Al,As,Ca,Cl,Co,Cr,Cu,Fe,Hf,K,Mg,Mn,Na,O,P,Pb,S,Si,Th,Ti,U,V,W,Y,Zn,Zr,Total_el_wt,Al2O3,CaO,FeO,Fe2O3,K2O,MgO,MnO,Na2O,P2O5,PbO,SiO2,ThO2,TiO2,UO2,V2O3,Y2O3,ZrO2,Total_oxydes
text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,deg,deg,m,text,text,m,m,m,text,text,text,text,text,text,text,text,deg,deg,m,m,m,m,float,float,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent,wt_percent
CIGAR_NORTH_DOC_20-CND-29-03,Characterization_of_the_Cigar_North_Conductor_Mineralogical_and_Geochemical_Analyses,GEOCHEMISTRY,MINERALOGY,ENGLISH,UNIVERSITY_OF_LORRAINE_ENSG,ORANO,GEOLOGY,GEOCHEMISTRY,CANADA,SASKATCHEWAN,CIGAR_LAKE,CIGAR_NORTH,KHAIRALLAH,Charles,charles.khairallah@orano.group,01-12-2020,CHEMILLAC,Remy,remy.chemillac@orano.group,,,,WC504--584-4-584-5,WGS84Greenwich,,58.08393837,-104.5953331,-57.37678673,CIGAR_AREA_CORE_SAMPLE,NAD83_UTM_zone_13N,523864.2931,6438125.946,-57.37678673,,DOC_20-CND-29-03,WC504--584-4-584-5,,,,,WC____504___,58.08235812,-104.5951686,499.309,523875.051,6437950.069,499.309,584.4,584.5,MAGMATIC_INTRUSIVE,FELSIC,GRANITE,,,HYDROTHERMAL,DIAGENETIC_HYDROTHERMAL,UNCONFORMITY_RELATED_U,,,,,,,,,,,,,,,,,,UO2-GEOCHEMISTRY-EMPA,UO2-GEOCH-EMPA,,UO2-GEOCH-EMPA,10/1.,25-11-2019,17.08,,0.02,0.15,,0,,0.13,,0.56,7.91,0,0.02,40.7,,,,17.66,,0,,,,,,,84.24,32.27,0.03,0.17,,0.68,13.12,,0.03,,,37.79,,,,,,,84.24
CIGAR_NORTH_DOC_20-CND-29-03,Characterization_of_the_Cigar_North_Conductor_Mineralogical_and_Geochemical_Analyses,GEOCHEMISTRY,MINERALOGY,ENGLISH,UNIVERSITY_OF_LORRAINE_ENSG,ORANO,GEOLOGY,GEOCHEMISTRY,CANADA,SASKATCHEWAN,CIGAR_LAKE,CIGAR_NORTH,KHAIRALLAH,Charles,charles.khairallah@orano.group,01-12-2020,CHEMILLAC,Remy,remy.chemillac@orano.group,,,,WC504--584-4-584-5,WGS84Greenwich,,58.08393837,-104.5953331,-57.37678673,CIGAR_AREA_CORE_SAMPLE,NAD83_UTM_zone_13N,523864.2931,6438125.946,-57.37678673,,DOC_20-CND-29-03,WC504--584-4-584-5,,,,,WC____504___,58.08235812,-104.5951686,499.309,523875.051,6437950.069,499.309,584.4,584.5,MAGMATIC_INTRUSIVE,FELSIC,GRANITE,,,HYDROTHERMAL,DIAGENETIC_HYDROTHERMAL,UNCONFORMITY_RELATED_U,,,,,,,,,,,,,,,,,,UO2-GEOCHEMISTRY-EMPA,UO2-GEOCH-EMPA,,UO2-GEOCH-EMPA,10/2.,25-11-2019,17.04,,0.05,0.16,,0.01,,0.21,,0.8,7.43,0.04,0.13,40.24,,,,17.46,,0,,,,,,,83.57,32.2,0.07,0.27,,0.96,12.32,,0.18,,,37.35,,,,,,,83.57
CIGAR_NORTH_DOC_20-CND-29-03,Characterization_of_the_Cigar_North_Conductor_Mineralogical_and_Geochemical_Analyses,GEOCHEMISTRY,MINERALOGY,ENGLISH,UNIVERSITY_OF_LORRAINE_ENSG,ORANO,GEOLOGY,GEOCHEMISTRY,CANADA,SASKATCHEWAN,CIGAR_LAKE,CIGAR_NORTH,KHAIRALLAH,Charles,charles.khairallah@orano.group,01-12-2020,CHEMILLAC,Remy,remy.chemillac@orano.group,,,,WC504--584-4-584-5,WGS84Greenwich,,58.08393837,-104.5953331,-57.37678673,CIGAR_AREA_CORE_SAMPLE,NAD83_UTM_zone_13N,523864.2931,6438125.946,-57.37678673,,DOC_20-CND-29-03,WC504--584-4-584-5,,,,,WC____504___,58.08235812,-104.5951686,499.309,523875.051,6437950.069,499.309,584.4,584.5,MAGMATIC_INTRUSIVE,FELSIC,GRANITE,,,HYDROTHERMAL,DIAGENETIC_HYDROTHERMAL,UNCONFORMITY_RELATED_U,,,,,,,,,,,,,,,,,,UO2-GEOCHEMISTRY-EMPA,UO2-GEOCH-EMPA,,UO2-GEOCH-EMPA,10/3.,25-11-2019,16.97,,0.04,0.06,,0,,0.23,,0.67,7.83,0,0.12,40.42,,,,17.48,,0.01,,,,,,,83.83,32.06,0.06,0.3,,0.81,12.98,,0.16,,,37.39,,,,,,,83.83
CIGAR_NORTH_DOC_20-CND-29-03,Characterization_of_the_Cigar_North_Conductor_Mineralogical_and_Geochemical_Analyses,GEOCHEMISTRY,MINERALOGY,ENGLISH,UNIVERSITY_OF_LORRAINE_ENSG,ORANO,GEOLOGY,GEOCHEMISTRY,CANADA,SASKATCHEWAN,CIGAR_LAKE,CIGAR_NORTH,KHAIRALLAH,Charles,charles.khairallah@orano.group,01-12-2020,CHEMILLAC,Remy,remy.chemillac@orano.group,,,,WC504--584-4-584-5,WGS84Greenwich,,58.08393837,-104.5953331,-57.37678673,CIGAR_AREA_CORE_SAMPLE,NAD83_UTM_zone_13N,523864.2931,6438125.946,-57.37678673,,DOC_20-CND-29-03,WC504--584-4-584-5,,,,,WC____504___,58.08235812,-104.5951686,499.309,523875.051,6437950.069,499.309,584.4,584.5,MAGMATIC_INTRUSIVE,FELSIC,GRANITE,,,HYDROTHERMAL,DIAGENETIC_HYDROTHERMAL,UNCONFORMITY_RELATED_U,,,,,,,,,,,,,,,,,,UO2-GEOCHEMISTRY-EMPA,UO2-GEOCH-EMPA,,UO2-GEOCH-EMPA,10/4.,25-11-2019,17.14,,0.06,0.09,,0.01,,0.22,,0.66,7.92,0,0.11,40.75,,,,17.58,,0,,,,,,,84.55,32.39,0.08,0.29,,0.8,13.14,,0.15,,,37.6,,,,,,,84.55
CIGAR_NORTH_DOC_20-CND-29-03,Characterization_of_the_Cigar_North_Conductor_Mineralogical_and_Geochemical_Analyses,GEOCHEMISTRY,MINERALOGY,ENGLISH,UNIVERSITY_OF_LORRAINE_ENSG,ORANO,GEOLOGY,GEOCHEMISTRY,CANADA,SASKATCHEWAN,CIGAR_LAKE,CIGAR_NORTH,KHAIRALLAH,Charles,charles.khairallah@orano.group,01-12-2020,CHEMILLAC,Remy,remy.chemillac@orano.group,,,,WC504--584-4-584-5,WGS84Greenwich,,58.08393837,-104.5953331,-57.37678673,CIGAR_AREA_CORE_SAMPLE,NAD83_UTM_zone_13N,523864.2931,6438125.946,-57.37678673,,DOC_20-CND-29-03,WC504--584-4-584-5,,,,,WC____504___,58.08235812,-104.5951686,499.309,523875.051,6437950.069,499.309,584.4,584.5,MAGMATIC_INTRUSIVE,FELSIC,GRANITE,,,HYDROTHERMAL,DIAGENETIC_HYDROTHERMAL,UNCONFORMITY_RELATED_U,,,,,,,,,,,,,,,,,,UO2-GEOCHEMISTRY-EMPA,UO2-GEOCH-EMPA,,UO2-GEOCH-EMPA,10/5.,25-11-2019,17.61,,0.09,0.13,,0,,0.11,,0.61,7.97,0,0.11,41.59,,,,17.95,,0.01,,,,,,,86.18,33.27,0.12,0.14,,0.73,13.22,,0.15,,,38.4,,,,,,,86.18
CIGAR_NORTH_DOC_20-CND-29-03,Characterization_of_the_Cigar_North_Conductor_Mineralogical_and_Geochemical_Analyses,GEOCHEMISTRY,MINERALOGY,ENGLISH,UNIVERSITY_OF_LORRAINE_ENSG,ORANO,GEOLOGY,GEOCHEMISTRY,CANADA,SASKATCHEWAN,CIGAR_LAKE,CIGAR_NORTH,KHAIRALLAH,Charles,charles.khairallah@orano.group,01-12-2020,CHEMILLAC,Remy,remy.chemillac@orano.group,,,,WC504--584-4-584-5,WGS84Greenwich,,58.08393837,-104.5953331,-57.37678673,CIGAR_AREA_CORE_SAMPLE,NAD83_UTM_zone_13N,523864.2931,6438125.946,-57.37678673,,DOC_20-CND-29-03,WC504--584-4-584-5,,,,,WC____504___,58.08235812,-104.5951686,499.309,523875.051,6437950.069,499.309,584.4,584.5,MAGMATIC_INTRUSIVE,FELSIC,GRANITE,,,HYDROTHERMAL,DIAGENETIC_HYDROTHERMAL,UNCONFORMITY_RELATED_U,,,,,,,,,,,,,,,,,,UO2-GEOCHEMISTRY-EMPA,UO2-GEOCH-EMPA,,UO2-GEOCH-EMPA,10/6.,25-11-2019,16.91,,0.06,0.1,,0,,0.13,,0.84,7.03,0,0.04,40.6,,,,18.15,,0.01,,,,,,,83.86,31.94,0.09,0.17,,1.01,11.65,,0.05,,,38.84,,,,,,,83.86
CIGAR_NORTH_DOC_20-CND-29-03,Characterization_of_the_Cigar_North_Conductor_Mineralogical_and_Geochemical_Analyses,GEOCHEMISTRY,MINERALOGY,ENGLISH,UNIVERSITY_OF_LORRAINE_ENSG,ORANO,GEOLOGY,GEOCHEMISTRY,CANADA,SASKATCHEWAN,CIGAR_LAKE,CIGAR_NORTH,KHAIRALLAH,Charles,charles.khairallah@orano.group,01-12-2020,CHEMILLAC,Remy,remy.chemillac@orano.group,,,,WC504--584-4-584-5,WGS84Greenwich,,58.08393837,-104.5953331,-57.37678673,CIGAR_AREA_CORE_SAMPLE,NAD83_UTM_zone_13N,523864.2931,6438125.946,-57.37678673,,DOC_20-CND-29-03,WC504--584-4-584-5,,,,,WC____504___,58.08235812,-104.5951686,499.309,523875.051,6437950.069,499.309,584.4,584.5,MAGMATIC_INTRUSIVE,FELSIC,GRANITE,,,HYDROTHERMAL,DIAGENETIC_HYDROTHERMAL,UNCONFORMITY_RELATED_U,,,,,,,,,,,,,,,,,,UO2-GEOCHEMISTRY-EMPA,UO2-GEOCH-EMPA,,UO2-GEOCH-EMPA,10/7.,25-11-2019,17.48,,0.04,0.08,,0.01,,0.15,,0.68,7.95,0,0.06,41.93,,,,18.37,,0,,,,,,,86.74,33.02,0.05,0.2,,0.81,13.18,,0.08,,,39.29,,,,,,,86.74
CIGAR_NORTH_DOC_20-CND-29-03,Characterization_of_the_Cigar_North_Conductor_Mineralogical_and_Geochemical_Analyses,GEOCHEMISTRY,MINERALOGY,ENGLISH,UNIVERSITY_OF_LORRAINE_ENSG,ORANO,GEOLOGY,GEOCHEMISTRY,CANADA,SASKATCHEWAN,CIGAR_LAKE,CIGAR_NORTH,KHAIRALLAH,Charles,charles.khairallah@orano.group,01-12-2020,CHEMILLAC,Remy,remy.chemillac@orano.group,,,,WC504--584-4-584-5,WGS84Greenwich,,58.08393837,-104.5953331,-57.37678673,CIGAR_AREA_CORE_SAMPLE,NAD83_UTM_zone_13N,523864.2931,6438125.946,-57.37678673,,DOC_20-CND-29-03,WC504--584-4-584-5,,,,,WC____504___,58.08235812,-104.5951686,499.309,523875.051,6437950.069,499.309,584.4,584.5,MAGMATIC_INTRUSIVE,FELSIC,GRANITE,,,HYDROTHERMAL,DIAGENETIC_HYDROTHERMAL,UNCONFORMITY_RELATED_U,,,,,,,,,,,,,,,,,,UO2-GEOCHEMISTRY-EMPA,UO2-GEOCH-EMPA,,UO2-GEOCH-EMPA,10/8.,25-11-2019,17.13,,0.06,0.1,,0,,0.19,,0.59,7.93,0,0.08,40.89,,,,17.73,,0,,,,,,,84.71,32.36,0.08,0.25,,0.71,13.15,,0.11,,,37.94,,,,,,,84.71
CIGAR_NORTH_DOC_20-CND-29-03,Characterization_of_the_Cigar_North_Conductor_Mineralogical_and_Geochemical_Analyses,GEOCHEMISTRY,MINERALOGY,ENGLISH,UNIVERSITY_OF_LORRAINE_ENSG,ORANO,GEOLOGY,GEOCHEMISTRY,CANADA,SASKATCHEWAN,CIGAR_LAKE,CIGAR_NORTH,KHAIRALLAH,Charles,charles.khairallah@orano.group,01-12-2020,CHEMILLAC,Remy,remy.chemillac@orano.group,,,,WC504--584-4-584-5,WGS84Greenwich,,58.08393837,-104.5953331,-57.37678673,CIGAR_AREA_CORE_SAMPLE,NAD83_UTM_zone_13N,523864.2931,6438125.946,-57.37678673,,DOC_20-CND-29-03,WC504--584-4-584-5,,,,,WC____504___,58.08235812,-104.5951686,499.309,523875.051,6437950.069,499.309,584.4,584.5,MAGMATIC_INTRUSIVE,FELSIC,GRANITE,,,HYDROTHERMAL,DIAGENETIC_HYDROTHERMAL,UNCONFORMITY_RELATED_U,,,,,,,,,,,,,,,,,,UO2-GEOCHEMISTRY-EMPA,UO2-GEOCH-EMPA,,UO2-GEOCH-EMPA,10/9.,25-11-2019,16.64,,0.03,0.19,,0,,0.21,,0.63,7.77,0.04,0.08,40.4,,,,17.77,,0,,,,,,,83.76,31.45,0.04,0.27,,0.76,12.88,,0.11,,,38.01,,,,,,,83.76
